run_id,dataset,method,train_subset,seed,acc,sel_acc,nll,ece,ood_auroc
8zasoz65,CIFAR-10,PS-MAP,0.5,211,92.50999689102171,98.70609283447266,0.31037890911102295,4.541386247873307,84.1452829210203
9a6slr37,CIFAR-10,PS-MAP,0.75,173,94.41999793052672,99.1552963256836,0.240488663315773,3.5355265828967095,91.53754724953905
izisj7x0,CIFAR-10,PS-MAP,0.25,211,87.6800000667572,97.32030487060548,0.5237075686454773,7.530022197173676,80.90427358635526
ywmt8o92,CIFAR-10,PS-MAP,0.75,211,94.37999725341795,99.11129760742188,0.23734623193740845,3.4918291914463038,93.0154045021512
48pvf5af,CIFAR-10,PS-MAP,0.1,157,71.74999713897705,89.37151336669922,1.376093506813049,19.810924671926173,63.97915623079287
4vjmxx5t,CIFAR-10,PS-MAP,0.5,157,92.3799991607666,98.77024841308594,0.3160584568977356,4.94697556167841,87.7964891287646
8eusc8jh,CIFAR-10,PS-MAP,0.25,173,85.67000031471252,96.64080047607422,0.5854166150093079,8.386124934486014,71.59712911032575
gontxhm6,CIFAR-10,PS-MAP,0.5,53,92.57999658584596,98.71199798583984,0.31734031438827515,4.715800720751286,88.40392382452366
gu5naf8v,CIFAR-10,PS-MAP,0.75,157,94.41999793052672,99.22903442382812,0.2185117155313492,3.3285929697752,93.810285994161
oy4oco5u,CIFAR-10,PS-MAP,0.25,157,87.89999485015869,97.25820922851562,0.5239803194999695,7.385831513591326,80.44651717117394
pfnneg30,CIFAR-10,PS-MAP,0.5,173,92.61999726295473,98.75631713867188,0.308385968208313,4.356038502156736,81.43659476797788
rjcyd9g5,CIFAR-10,PS-MAP,0.1,173,72.71999716758728,90.06241607666016,1.3380467891693115,19.728036310911527,68.27048632452366
uv2vn0lb,CIFAR-10,PS-MAP,0.25,53,87.51999735832214,97.3197784423828,0.5333544611930847,7.984945318102836,69.31682410110633
w8mwbizd,CIFAR-10,PS-MAP,0.75,53,94.42999958992004,99.1140594482422,0.23460213840007785,3.3655354163050655,89.80839236324523
aivane0a,CIFAR-10,PS-MAP,0.5,5,92.44999885559082,98.6019515991211,0.3279353976249695,4.843130625635386,87.53005762138906
az62rpga,CIFAR-10,PS-MAP,0.1,53,73.24999570846558,89.99376678466797,1.378841519355774,19.38108829758792,61.006365626920726
ct1kj6m6,CIFAR-10,PS-MAP,0.1,5,73.15999865531921,90.32247924804688,1.356212496757507,19.702274142436575,71.45975280424094
ds2ads6u,CIFAR-10,PS-MAP,0.25,5,86.64000034332275,97.20822143554688,0.5418522357940674,8.031592536212422,71.51896780885065
ry6oo019,CIFAR-10,PS-MAP,0.75,5,94.2200005054474,99.05408477783205,0.23894885182380676,3.4671689295768733,89.97932602181929
73shhagl,FashionMNIST,PS-MAP,0.5,211,92.69999861717224,98.85226440429688,0.2942928969860077,4.48419903755188,92.975566
s03vpoj7,FashionMNIST,PS-MAP,0.75,211,93.3899998664856,98.9898681640625,0.26422250270843506,3.959986037611962,91.011974
14i80pzo,FashionMNIST,PS-MAP,0.1,211,88.06999921798706,97.02399444580078,0.4939224123954773,7.5141468968987475,92.035821
exvk9b87,FashionMNIST,PS-MAP,0.75,173,93.3899998664856,98.90291595458984,0.27383631467819214,4.150180756747723,92.6652
lrjj33mt,FashionMNIST,PS-MAP,0.25,211,90.9500002861023,98.36693572998048,0.3664627075195313,5.696686732172966,87.39258450000001
113jqyuy,FashionMNIST,PS-MAP,0.25,173,91.1199986934662,98.1536636352539,0.36071619391441345,5.535217612534762,93.51208050000001
2xpymduf,FashionMNIST,PS-MAP,0.75,157,92.80999898910522,98.72689056396484,0.2860727608203888,4.614670521914959,94.082281
9rjtlwzq,FashionMNIST,PS-MAP,0.1,157,88.40999603271484,97.06716918945312,0.48602214455604553,7.099068301916123,92.69184150000001
m0rsxera,FashionMNIST,PS-MAP,0.5,157,92.6699995994568,98.59414672851562,0.2876662015914917,4.30308918595314,92.99862
mx3vhzwe,FashionMNIST,PS-MAP,0.5,53,92.25999712944032,98.67057037353516,0.3303438425064087,4.913860718607903,93.82826449999997
oyh4x9qd,FashionMNIST,PS-MAP,0.5,173,92.28000044822691,98.53965759277344,0.2928813397884369,4.216506154239177,92.401677
ss7m5csw,FashionMNIST,PS-MAP,0.75,53,93.16999912261964,98.8511962890625,0.285725861787796,4.263808048665524,95.270563
teia4upw,FashionMNIST,PS-MAP,0.1,173,87.92999982833862,97.319580078125,0.48748162388801575,7.821179275512696,84.87968500000001
xt8p5dtr,FashionMNIST,PS-MAP,0.25,53,90.80999493598938,98.3644027709961,0.3546021580696106,5.545234311521054,85.66620449999999
yh4df65j,FashionMNIST,PS-MAP,0.25,157,91.39999747276306,98.24592590332033,0.3482724130153656,4.893506354093551,88.024512
niuli0wu,FashionMNIST,PS-MAP,0.1,53,88.45999836921692,96.85533905029295,0.4792768359184265,7.095211419910193,82.023822
rqn9wnr6,FashionMNIST,PS-MAP,0.75,5,93.29999685287476,98.8667984008789,0.27073416113853455,3.90546166241169,92.5122435
2zf7rvb9,FashionMNIST,PS-MAP,0.25,5,91.0099983215332,98.34406280517578,0.3647908866405487,5.441195505410433,88.357174
svah6za1,FashionMNIST,PS-MAP,0.5,5,92.57999658584596,98.67496490478516,0.3009326457977295,4.483623241484165,92.61851949999999
q5oojy79,FashionMNIST,PS-MAP,0.1,5,87.58999705314636,96.90261840820312,0.5085382461547852,7.463473705053329,88.9322735
ze8jjb7j,CIFAR-10,FSGC,0.75,211,93.80999803543092,99.092029774189,0.23012739419937137,1.8758395013213156,99.96039603960396
tr9bmwj8,CIFAR-10,FSGC,0.5,211,91.96999669075012,98.71165823340417,0.29753193259239197,2.573368207514286,99.88883315284652
62qkvvyq,CIFAR-10,FSGC,0.25,211,87.83999681472778,97.3020958930254,0.4707368016242981,6.024461081624031,99.68584545173267
w5p6tjxj,CIFAR-10,FSGC,0.1,211,77.93999910354614,93.07852330207824,0.8424654006958008,11.608007865399122,93.98100286200496
qztr8xa5,CIFAR-10,FSGC,0.75,173,94.08999681472778,99.1387484908104,0.22278089821338656,1.6770159393548965,99.93760558477724
2fnmxjhj,CIFAR-10,FSGC,0.5,173,92.38999485969543,98.75217460989953,0.2917196452617645,2.639277462512255,99.88515857054456
qnel47b2,CIFAR-10,FSGC,0.25,173,87.66999840736389,97.3105502665043,0.4786006808280945,6.19056363940239,99.4649969059406
4sw8x3th,CIFAR-10,FSGC,0.1,173,77.71999835968018,92.86559739112856,0.8657960891723633,11.946887351870538,96.25318146658417
ke8e1ll5,CIFAR-10,FSGC,0.75,157,93.81999969482422,99.13294627666474,0.22758477926254272,1.75399882376194,99.92134900990098
rp5hce48,CIFAR-10,FSGC,0.5,157,92.30999946594238,98.76244308948516,0.28200358152389526,2.443747516870499,99.92612314356435
a2zu9jwu,CIFAR-10,FSGC,0.1,157,78.2099962234497,93.1610367923975,0.8199082016944885,11.064272671043874,96.16853457611386
hmo8gd3c,CIFAR-10,FSGC,0.25,157,87.54000067710876,97.28424093425274,0.455329567193985,5.602038003802299,99.58831605816832
f8c71fxf,CIFAR-10,FSGC,0.75,53,93.93999576568604,99.17710127830506,0.22907783091068268,1.875335012972355,99.93117574257428
3xdeqtd2,CIFAR-10,FSGC,0.5,53,91.92000031471252,98.68741440176964,0.30093914270401,2.5468522757291794,99.93231280940591
pfmrgqru,CIFAR-10,FSGC,0.1,53,78.99999618530273,93.33618613481522,0.800382673740387,9.917653063982726,97.53456760519803
q08vn8ee,CIFAR-10,FSGC,0.25,53,87.08999752998352,97.0445886194706,0.49013012647628784,6.352569842636585,99.53206373762376
kgqdse1h,CIFAR-10,FSGC,0.75,5,93.66999864578248,99.09977355003358,0.23236171901226044,1.699026494026184,99.93151840965346
8n9fytuw,CIFAR-10,FSGC,0.25,5,87.76999711990356,97.26741548776629,0.46493905782699585,6.020767536908388,99.64559096534654
8rc76hhy,CIFAR-10,FSGC,0.5,5,91.64999723434448,98.72821887731553,0.30725792050361633,2.9638551826775075,99.9039031559406
xckrpxnn,CIFAR-10,FSGC,0.1,5,78.42999696731567,93.38000526428225,0.8196738362312317,11.011767599880695,95.67537515470296
jr40t435,FashionMNIST,FSGC,0.75,211,93.5699999332428,98.28177863061428,0.29500842094421387,4.36485339820385,99.790256
30gksfu6,FashionMNIST,FSGC,0.25,211,91.40999913215636,97.9819009155035,0.3590942323207855,5.379359899163245,99.017295
v44x20z3,FashionMNIST,FSGC,0.5,211,93.0999994277954,98.23094592392444,0.3051687479019165,4.440752820670605,99.750299
pinpcw39,FashionMNIST,FSGC,0.1,211,89.03999924659729,96.81954379677772,0.47506219148635864,6.6596646803617485,97.797908
1hw4qk62,FashionMNIST,FSGC,0.75,173,93.50000023841858,98.27146391570568,0.3003648519515991,4.5959983530640605,99.705547
j076dkh6,FashionMNIST,FSGC,0.25,173,91.10999703407288,97.87664608359336,0.37477734684944153,5.596738867610693,99.199504
j7uftcis,FashionMNIST,FSGC,0.5,173,92.739999294281,97.8939951211214,0.32197171449661255,4.748978152871132,99.628764
vzmonilw,FashionMNIST,FSGC,0.1,173,88.4399950504303,97.06876378655434,0.49259379506111145,7.084605887532236,96.8990765
93nz311h,FashionMNIST,FSGC,0.5,157,92.80999898910522,98.08683771193029,0.31932997703552246,4.806262041926384,99.16080800000002
cxi4jsav,FashionMNIST,FSGC,0.75,157,93.73999834060668,98.29325349628924,0.28471678495407104,4.20138326793909,99.644445
moeut14z,FashionMNIST,FSGC,0.25,157,91.8999969959259,98.22559431493282,0.32735759019851685,4.773417368233204,98.257805
spn7417c,FashionMNIST,FSGC,0.1,157,89.24999833106995,97.31203781962397,0.45971986651420593,6.643041428327562,98.8542315
6deloiv4,FashionMNIST,FSGC,0.75,53,93.73999834060668,98.41570911705494,0.2886865735054016,4.33010240316391,99.941429
cccjmksm,FashionMNIST,FSGC,0.5,53,92.849999666214,98.37281578183176,0.3077133297920227,4.666926586329937,99.682909
8ixwsnn6,FashionMNIST,FSGC,0.1,53,89.30000066757202,97.22390224933623,0.4476887583732605,6.398837400972844,99.18156700000002
x2i2104v,FashionMNIST,FSGC,0.25,53,91.6700005531311,98.05831845998765,0.3392001986503601,4.860639631599187,98.599671
gisxg5fw,FashionMNIST,FSGC,0.75,5,93.37999820709229,98.06258901655674,0.29447802901268005,4.478953935205937,99.734695
7d1xtjm7,FashionMNIST,FSGC,0.5,5,92.87999868392944,98.2050991088152,0.3103136718273163,4.4640920540690425,99.319906
2sh4aitd,FashionMNIST,FSGC,0.25,5,91.5399968624115,97.82263273894787,0.35433706641197205,5.227288159728049,98.151402
xiv55wd0,FashionMNIST,FSGC,0.1,5,89.0999972820282,97.34968981444835,0.4563398361206054,6.715953910946848,97.8262175
