run_id,seed,dataset,context_size,s/test/acc,s/test/sel_acc,s/test/avg_nll,s/test/ece
gugfk0pr,211,cifar10,512,95.38999795913696,99.49903106689452,0.16114555299282074,1.1768317741155623
rn3wq1n4,173,cifar10,512,95.40999531745912,99.4864273071289,0.16447685658931732,1.2628258699178696
tjug4878,157,cifar10,512,95.45999765396118,99.4852066040039,0.16154947876930237,1.0476790469884874
9jqdfiij,53,cifar10,512,95.46999931335448,99.4778823852539,0.1634150892496109,1.3098690544068814
3imp1qnj,5,cifar10,512,95.5299973487854,99.5060806274414,0.1569511592388153,1.0234906244277955
5obo11ur,211,cifar10,256,95.58999538421632,99.4961166381836,0.15828444063663483,1.2976547250151633
4guew561,173,cifar10,256,95.49999833106996,99.52289581298828,0.1557818353176117,0.9828616511821748
esuntywd,157,cifar10,256,95.42999863624571,99.46924591064452,0.16485174000263214,1.4759873309731484
7tyc7ihq,5,cifar10,256,95.42999863624571,99.46904754638672,0.16088071465492249,1.2972936372458936
myamp5to,53,cifar10,128,95.53999900817873,99.50296783447266,0.1589130312204361,1.2836781632900238
uk7dzcqb,53,cifar10,256,95.66999673843384,99.51563262939452,0.1540878713130951,1.1249480760097503
x9yxvlzn,157,cifar10,128,95.30999660491945,99.4890594482422,0.16201256215572357,1.506084958165884
xfzlarj5,173,cifar10,128,95.45999765396118,99.47196197509766,0.1617424488067627,1.4928150948882104
ytwlfwg8,211,cifar10,128,95.57000022888184,99.47339630126952,0.16613027453422546,1.4839374087750912
ffown9mp,211,cifar10,64,95.91999650001526,99.51885986328124,0.15589362382888794,1.7821361511945724
k95mluo3,173,cifar10,64,95.51999568939208,99.5213851928711,0.1562321037054062,1.674967218339443
o8qbdg3z,157,cifar10,64,95.50999999046326,99.51775360107422,0.15638582408428192,1.4185320657491685
yzsawjdi,5,cifar10,128,95.41999697685242,99.50212860107422,0.1608009934425354,1.3382787522673607
8db2o295,53,cifar10,64,95.75999975204468,99.51696014404295,0.1570149064064026,1.6846500676870344
e1myuggp,5,cifar10,64,95.55999636650084,99.49927520751952,0.1600169688463211,1.8355589506030086
u1x3bq9s,211,cifar10,32,95.39999961853029,99.48606872558594,0.17032580077648163,2.040399343371391
o15u3ps4,173,cifar10,32,95.51999568939208,99.48765563964844,0.16816823184490204,1.902425763532519
g94610tt,157,cifar10,32,95.62999606132509,99.5027084350586,0.16072820127010343,1.578216063529253
4ifq7esb,53,cifar10,32,95.60999870300292,99.5186538696289,0.16044051945209503,1.7917653174698351
hiezgt3y,5,cifar10,32,95.56999802589417,99.51338958740234,0.16173578798770905,1.8205787101387978
1ylx5zy1,211,cifar10,16,95.62999606132509,99.5138702392578,0.16781291365623474,2.046097669750452
uvtgsadk,173,cifar10,16,95.51999568939208,99.50022888183594,0.16813819110393524,2.1885774233937267
x9241js9,157,cifar10,16,95.44000029563904,99.49889373779295,0.16443610191345215,2.0269323222339155
jfewe7t5,53,cifar10,16,95.87000012397766,99.51990509033205,0.1646718978881836,2.101381793171167
wpgu8r18,5,cifar10,16,95.59999704360962,99.52015686035156,0.16215333342552185,2.002865933775902
dy14yqxj,173,cifar10,8,95.8199977874756,99.52088165283205,0.16366168856620789,1.918390303403139
osioenpc,211,cifar10,8,95.57999968528748,99.52140045166016,0.1705499142408371,2.2383738270401956
2kc8m3ei,157,cifar10,8,95.46999931335448,99.50249481201172,0.16940438747406006,2.2575550546497105
qhb4ov7p,53,cifar10,8,95.49999833106996,99.50402069091795,0.1715116947889328,2.178470939546823
rg9bvutr,5,cifar10,8,95.60999870300292,99.5154266357422,0.16830667853355408,2.216284322142601
ygpzgz2s,211,cifar10,4,95.35999894142152,99.44226837158205,0.18057450652122495,2.574081083238125
ttaw15g9,173,cifar10,4,95.7099974155426,99.52972412109376,0.16926151514053345,2.2562410455942157
db6mvalu,157,cifar10,4,95.51999568939208,99.49694061279295,0.17701923847198486,2.481333436071873
0vba8r2y,53,cifar10,4,95.69999575614928,99.52498626708984,0.17227007448673248,2.277636731415987
wjslf8g1,5,cifar10,4,95.62999606132509,99.52059936523438,0.1649322509765625,2.2676752224564556
