run_id,seed,dataset,ctx_dataset,label_noise,reg_scale,s/test/acc,s/test/sel_acc,s/test/avg_nll,s/test/ece
xhux3dq0,211,cifar10,cifar100,0.8,0.0,25.23999810218811,34.97067642211914,3.62837290763855,44.44723343551159
iydbzend,173,cifar10,cifar100,0.8,0.0,25.499999523162842,34.78588104248047,3.579866409301758,44.46758855342865
3rpj1iqp,157,cifar10,cifar100,0.8,0.0,27.149999141693115,36.735382080078125,3.3510279655456543,42.128935034573075
gngv7ulq,53,cifar10,cifar100,0.8,0.0,26.909998059272766,37.79182815551758,3.51424789428711,43.55316996562478
5y65lwxv,5,cifar10,cifar100,0.8,0.0,26.569998264312744,36.74506759643555,3.451397657394409,43.48308645159006
426q7bbf,211,cifar10,cifar100,0.8,1e-06,27.239999175071716,39.67525863647461,2.616379499435425,30.64091126158834
kzmlg295,173,cifar10,cifar100,0.8,1e-06,28.15999984741211,39.72602462768555,2.5753190517425537,29.790317403376104
fpygx4lv,157,cifar10,cifar100,0.8,1e-06,27.320000529289246,40.06953430175781,2.5872652530670166,29.716343266069888
awspqudf,53,cifar10,cifar100,0.8,1e-06,29.679998755455017,42.30067443847656,2.570789098739624,30.111579558700324
juegbylz,5,cifar10,cifar100,0.8,1e-06,27.860000729560852,40.06642532348633,2.6559245586395264,32.38853998348117
0vp1june,211,cifar10,cifar100,0.6,0.0,46.42999768257141,64.29345703125,2.6462929248809814,33.16696730432371
rrdf3gwo,173,cifar10,cifar100,0.6,0.0,48.249998688697815,65.83440399169922,2.5686259269714355,32.06755098667708
uca0x2qo,157,cifar10,cifar100,0.6,0.0,46.72999978065491,65.1111831665039,2.647475242614746,33.11170900099324
oxjq9wnj,53,cifar10,cifar100,0.6,0.0,47.87999987602234,66.10347747802734,2.560741424560547,32.04334152860938
b7mn6snn,5,cifar10,cifar100,0.6,0.0,47.39999771118164,64.65581512451172,2.6571269035339355,33.39265782926562
p2e2ww62,211,cifar10,cifar100,0.6,1e-06,50.0,69.683837890625,1.7930458784103394,20.034300434589383
w50xx275,173,cifar10,cifar100,0.6,1e-06,48.589998483657844,67.37296295166016,1.876956582069397,21.065860125422482
vctierla,157,cifar10,cifar100,0.6,1e-06,49.3399977684021,67.89060974121094,1.8487499952316284,20.837460717260836
x7pi5feh,53,cifar10,cifar100,0.6,1e-06,50.16999840736389,70.29234313964844,1.794488787651062,20.37914820387959
if68l8mm,5,cifar10,cifar100,0.6,1e-06,48.74999821186066,67.93122863769531,1.8453999757766724,21.483610228861984
scohxwy6,211,cifar10,cifar100,0.4,0.0,66.85999631881714,84.40340423583984,1.544899344444275,19.74932128012085
0b4d7zrh,173,cifar10,cifar100,0.4,0.0,68.76999735832214,86.15003204345703,1.4251317977905271,18.298665706245814
2l2l2mct,157,cifar10,cifar100,0.4,0.0,68.36000084877014,85.78751373291016,1.4826412200927734,18.620442613968255
3nlkpvcj,53,cifar10,cifar100,0.4,0.0,70.27999758720398,87.15065002441406,1.364505648612976,17.460036164673166
