run_id,ce_loss,step,dataset,method
0,1952943.0,-50.0,c10,fsgc
0,939587.7,-48.0,c10,fsgc
0,440730.72,-46.0,c10,fsgc
0,200972.36,-44.0,c10,fsgc
0,88939.1,-42.0,c10,fsgc
0,38015.562,-40.0,c10,fsgc
0,15698.757,-38.0,c10,fsgc
0,6309.8774,-36.0,c10,fsgc
0,2499.0647,-34.0,c10,fsgc
0,988.086,-32.0,c10,fsgc
0,393.26523,-30.0,c10,fsgc
0,158.74785,-28.0,c10,fsgc
0,65.34403,-26.0,c10,fsgc
0,28.044199,-24.0,c10,fsgc
0,12.936391,-22.0,c10,fsgc
0,6.760876,-20.0,c10,fsgc
0,4.2005715,-18.0,c10,fsgc
0,3.07609,-16.0,c10,fsgc
0,2.4051738,-14.0,c10,fsgc
0,1.7482761,-12.0,c10,fsgc
0,1.0576441,-10.0,c10,fsgc
0,0.5773577,-8.0,c10,fsgc
0,0.34782368,-6.0,c10,fsgc
0,0.25588977,-4.0,c10,fsgc
0,0.22598651,-2.0,c10,fsgc
0,0.22452877,0.0,c10,fsgc
0,0.23561801,2.0,c10,fsgc
0,0.27695003,4.0,c10,fsgc
0,0.3802921,6.0,c10,fsgc
0,0.61628777,8.0,c10,fsgc
0,1.0816218,10.0,c10,fsgc
0,1.6901914,12.0,c10,fsgc
0,2.1544404,14.0,c10,fsgc
0,2.4735565,16.0,c10,fsgc
0,2.9192097,18.0,c10,fsgc
0,4.1117344,20.0,c10,fsgc
0,7.6376243,22.0,c10,fsgc
0,16.911362,24.0,c10,fsgc
0,38.94465,26.0,c10,fsgc
0,92.33862,28.0,c10,fsgc
0,234.95714,30.0,c10,fsgc
0,614.5739,32.0,c10,fsgc
0,1567.5758,34.0,c10,fsgc
0,3854.0508,36.0,c10,fsgc
0,9152.878,38.0,c10,fsgc
0,21258.572,40.0,c10,fsgc
0,48586.77,42.0,c10,fsgc
0,109116.36,44.0,c10,fsgc
0,239409.0,46.0,c10,fsgc
0,515291.03,48.0,c10,fsgc
0,1088322.4,50.0,c10,fsgc
1,924066.2,-50.0,c10,fsgc
1,446502.53,-48.0,c10,fsgc
1,213536.62,-46.0,c10,fsgc
1,100756.234,-44.0,c10,fsgc
1,46486.41,-42.0,c10,fsgc
1,20778.082,-40.0,c10,fsgc
1,8989.814,-38.0,c10,fsgc
1,3769.0598,-36.0,c10,fsgc
1,1525.8148,-34.0,c10,fsgc
1,595.4754,-32.0,c10,fsgc
1,225.22119,-30.0,c10,fsgc
1,83.94215,-28.0,c10,fsgc
1,31.76006,-26.0,c10,fsgc
1,12.801369,-24.0,c10,fsgc
1,5.760449,-22.0,c10,fsgc
1,3.3446906,-20.0,c10,fsgc
1,2.6123438,-18.0,c10,fsgc
1,2.354856,-16.0,c10,fsgc
1,2.130704,-14.0,c10,fsgc
1,1.7165209,-12.0,c10,fsgc
1,1.1098574,-10.0,c10,fsgc
1,0.61203516,-8.0,c10,fsgc
1,0.35836482,-6.0,c10,fsgc
1,0.256574,-4.0,c10,fsgc
1,0.22409104,-2.0,c10,fsgc
1,0.22452877,0.0,c10,fsgc
1,0.23878366,2.0,c10,fsgc
1,0.28159955,4.0,c10,fsgc
1,0.38089225,6.0,c10,fsgc
1,0.593173,8.0,c10,fsgc
1,0.9928783,10.0,c10,fsgc
1,1.5420791,12.0,c10,fsgc
1,2.0399287,14.0,c10,fsgc
1,2.4696624,16.0,c10,fsgc
1,3.1675727,18.0,c10,fsgc
1,5.033563,20.0,c10,fsgc
1,9.915498,22.0,c10,fsgc
1,21.58504,24.0,c10,fsgc
1,48.872902,26.0,c10,fsgc
1,111.64381,28.0,c10,fsgc
1,250.99985,30.0,c10,fsgc
1,553.74927,32.0,c10,fsgc
1,1218.4625,34.0,c10,fsgc
1,2677.713,36.0,c10,fsgc
1,5881.6772,38.0,c10,fsgc
1,12860.195,40.0,c10,fsgc
1,27905.043,42.0,c10,fsgc
1,59883.24,44.0,c10,fsgc
1,126603.96,46.0,c10,fsgc
1,267190.25,48.0,c10,fsgc
1,561454.9,50.0,c10,fsgc
2,826495.75,-50.0,c10,fsgc
2,396635.94,-48.0,c10,fsgc
2,186308.25,-46.0,c10,fsgc
2,85797.94,-44.0,c10,fsgc
2,38875.95,-42.0,c10,fsgc
2,17341.504,-40.0,c10,fsgc
2,7614.28,-38.0,c10,fsgc
2,3261.3503,-36.0,c10,fsgc
2,1356.083,-34.0,c10,fsgc
2,542.32886,-32.0,c10,fsgc
2,206.44484,-30.0,c10,fsgc
2,74.495285,-28.0,c10,fsgc
2,25.815098,-26.0,c10,fsgc
2,9.240335,-24.0,c10,fsgc
2,4.408362,-22.0,c10,fsgc
2,3.0932724,-20.0,c10,fsgc
2,2.6448019,-18.0,c10,fsgc
2,2.4398973,-16.0,c10,fsgc
2,2.2268398,-14.0,c10,fsgc
2,1.8051596,-12.0,c10,fsgc
2,1.178655,-10.0,c10,fsgc
2,0.6631038,-8.0,c10,fsgc
2,0.38792092,-6.0,c10,fsgc
2,0.270052,-4.0,c10,fsgc
2,0.22983383,-2.0,c10,fsgc
2,0.22452877,0.0,c10,fsgc
2,0.23518,2.0,c10,fsgc
2,0.27878025,4.0,c10,fsgc
2,0.3942738,6.0,c10,fsgc
2,0.66178584,8.0,c10,fsgc
2,1.1632218,10.0,c10,fsgc
2,1.7809037,12.0,c10,fsgc
2,2.260454,14.0,c10,fsgc
2,2.623309,16.0,c10,fsgc
2,3.2101777,18.0,c10,fsgc
2,4.8799043,20.0,c10,fsgc
2,9.487151,22.0,c10,fsgc
2,20.723253,24.0,c10,fsgc
2,47.35813,26.0,c10,fsgc
2,110.22845,28.0,c10,fsgc
2,256.81253,30.0,c10,fsgc
2,592.2892,32.0,c10,fsgc
2,1359.0421,34.0,c10,fsgc
2,3135.4607,36.0,c10,fsgc
2,7274.4976,38.0,c10,fsgc
2,16870.967,40.0,c10,fsgc
2,38999.793,42.0,c10,fsgc
2,89067.71,44.0,c10,fsgc
2,200058.16,46.0,c10,fsgc
2,440333.0,48.0,c10,fsgc
2,948552.25,50.0,c10,fsgc
3,985463.4,-50.0,c10,fsgc
3,499694.06,-48.0,c10,fsgc
3,248582.39,-46.0,c10,fsgc
3,120623.38,-44.0,c10,fsgc
3,56969.523,-42.0,c10,fsgc
3,26207.207,-40.0,c10,fsgc
3,11762.489,-38.0,c10,fsgc
3,5173.8057,-36.0,c10,fsgc
3,2242.861,-34.0,c10,fsgc
3,963.8774,-32.0,c10,fsgc
3,413.38235,-30.0,c10,fsgc
3,177.37094,-28.0,c10,fsgc
3,76.39191,-26.0,c10,fsgc
3,33.497894,-24.0,c10,fsgc
3,15.3933,-22.0,c10,fsgc
3,7.7449703,-20.0,c10,fsgc
3,4.5129185,-18.0,c10,fsgc
3,3.1415498,-16.0,c10,fsgc
3,2.4387467,-14.0,c10,fsgc
3,1.8057826,-12.0,c10,fsgc
3,1.1263101,-10.0,c10,fsgc
3,0.6233666,-8.0,c10,fsgc
3,0.37103814,-6.0,c10,fsgc
3,0.26526463,-4.0,c10,fsgc
3,0.22823803,-2.0,c10,fsgc
3,0.22452877,0.0,c10,fsgc
3,0.23912294,2.0,c10,fsgc
3,0.29275152,4.0,c10,fsgc
3,0.42779002,6.0,c10,fsgc
