run_id,ce_loss,step,dataset,method
0,6.242494,-50.0,cifar10-noaug,lmap
0,4.207897,-48.0,cifar10-noaug,lmap
0,3.1137743,-46.0,cifar10-noaug,lmap
0,2.6145182,-44.0,cifar10-noaug,lmap
0,2.4064984,-42.0,cifar10-noaug,lmap
0,2.3150244,-40.0,cifar10-noaug,lmap
0,2.2675455,-38.0,cifar10-noaug,lmap
0,2.233748,-36.0,cifar10-noaug,lmap
0,2.1949298,-34.0,cifar10-noaug,lmap
0,2.1393638,-32.0,cifar10-noaug,lmap
0,2.0526674,-30.0,cifar10-noaug,lmap
0,1.9118687,-28.0,cifar10-noaug,lmap
0,1.6858853,-26.0,cifar10-noaug,lmap
0,1.3557295,-24.0,cifar10-noaug,lmap
0,0.9544845,-22.0,cifar10-noaug,lmap
0,0.5673604,-20.0,cifar10-noaug,lmap
0,0.27534732,-18.0,cifar10-noaug,lmap
0,0.105261855,-16.0,cifar10-noaug,lmap
0,0.031178877,-14.0,cifar10-noaug,lmap
0,0.008311767,-12.0,cifar10-noaug,lmap
0,0.0028676044,-10.0,cifar10-noaug,lmap
0,0.0015873472,-8.0,cifar10-noaug,lmap
0,0.0011938317,-6.0,cifar10-noaug,lmap
0,0.0010408497,-4.0,cifar10-noaug,lmap
0,0.0009772112,-2.0,cifar10-noaug,lmap
0,0.0009601733,0.0,cifar10-noaug,lmap
0,0.0009832451,2.0,cifar10-noaug,lmap
0,0.0010536574,4.0,cifar10-noaug,lmap
0,0.0012075744,6.0,cifar10-noaug,lmap
0,0.0015534547,8.0,cifar10-noaug,lmap
0,0.0024363464,10.0,cifar10-noaug,lmap
0,0.0051533678,12.0,cifar10-noaug,lmap
0,0.014282384,14.0,cifar10-noaug,lmap
0,0.04233954,16.0,cifar10-noaug,lmap
0,0.11217891,18.0,cifar10-noaug,lmap
0,0.2507969,20.0,cifar10-noaug,lmap
0,0.47414693,22.0,cifar10-noaug,lmap
0,0.77670527,24.0,cifar10-noaug,lmap
0,1.1254909,26.0,cifar10-noaug,lmap
0,1.4652654,28.0,cifar10-noaug,lmap
0,1.7457093,30.0,cifar10-noaug,lmap
0,1.9469562,32.0,cifar10-noaug,lmap
0,2.0829546,34.0,cifar10-noaug,lmap
0,2.1780279,36.0,cifar10-noaug,lmap
0,2.2539766,38.0,cifar10-noaug,lmap
0,2.3351543,40.0,cifar10-noaug,lmap
0,2.4632883,42.0,cifar10-noaug,lmap
0,2.7360997,44.0,cifar10-noaug,lmap
0,3.3627086,46.0,cifar10-noaug,lmap
0,4.689673,48.0,cifar10-noaug,lmap
0,7.135196,50.0,cifar10-noaug,lmap
1,6.3949056,-50.0,cifar10-noaug,lmap
1,4.184193,-48.0,cifar10-noaug,lmap
1,3.0905175,-46.0,cifar10-noaug,lmap
1,2.615008,-44.0,cifar10-noaug,lmap
1,2.416619,-42.0,cifar10-noaug,lmap
1,2.3257413,-40.0,cifar10-noaug,lmap
1,2.2681203,-38.0,cifar10-noaug,lmap
1,2.2101038,-36.0,cifar10-noaug,lmap
1,2.1322021,-34.0,cifar10-noaug,lmap
1,2.0136566,-32.0,cifar10-noaug,lmap
1,1.8322903,-30.0,cifar10-noaug,lmap
1,1.5734786,-28.0,cifar10-noaug,lmap
1,1.2438748,-26.0,cifar10-noaug,lmap
1,0.88281435,-24.0,cifar10-noaug,lmap
1,0.5492338,-22.0,cifar10-noaug,lmap
1,0.29327196,-20.0,cifar10-noaug,lmap
1,0.13202916,-18.0,cifar10-noaug,lmap
1,0.05028788,-16.0,cifar10-noaug,lmap
1,0.017236669,-14.0,cifar10-noaug,lmap
1,0.006193142,-12.0,cifar10-noaug,lmap
1,0.002822556,-10.0,cifar10-noaug,lmap
1,0.0017153414,-8.0,cifar10-noaug,lmap
1,0.0012839643,-6.0,cifar10-noaug,lmap
1,0.0010927904,-4.0,cifar10-noaug,lmap
1,0.0010005585,-2.0,cifar10-noaug,lmap
1,0.0009601733,0.0,cifar10-noaug,lmap
1,0.00096056884,2.0,cifar10-noaug,lmap
1,0.0010061702,4.0,cifar10-noaug,lmap
1,0.0011345741,6.0,cifar10-noaug,lmap
1,0.0014772303,8.0,cifar10-noaug,lmap
1,0.0025874092,10.0,cifar10-noaug,lmap
1,0.00724119,12.0,cifar10-noaug,lmap
1,0.025753744,14.0,cifar10-noaug,lmap
1,0.083018355,16.0,cifar10-noaug,lmap
1,0.21510029,18.0,cifar10-noaug,lmap
1,0.45081374,20.0,cifar10-noaug,lmap
1,0.7893537,22.0,cifar10-noaug,lmap
1,1.1852533,24.0,cifar10-noaug,lmap
1,1.5609387,26.0,cifar10-noaug,lmap
1,1.8531597,28.0,cifar10-noaug,lmap
1,2.0491016,30.0,cifar10-noaug,lmap
1,2.173173,32.0,cifar10-noaug,lmap
1,2.2566853,34.0,cifar10-noaug,lmap
1,2.3231304,36.0,cifar10-noaug,lmap
1,2.3880491,38.0,cifar10-noaug,lmap
1,2.4697943,40.0,cifar10-noaug,lmap
1,2.6027331,42.0,cifar10-noaug,lmap
1,2.85659,44.0,cifar10-noaug,lmap
1,3.4038067,46.0,cifar10-noaug,lmap
1,4.6484313,48.0,cifar10-noaug,lmap
1,7.2927365,50.0,cifar10-noaug,lmap
2,7.3037148,-50.0,cifar10-noaug,lmap
2,4.43439,-48.0,cifar10-noaug,lmap
2,3.095328,-46.0,cifar10-noaug,lmap
2,2.5718713,-44.0,cifar10-noaug,lmap
2,2.3706682,-42.0,cifar10-noaug,lmap
2,2.281198,-40.0,cifar10-noaug,lmap
2,2.228146,-38.0,cifar10-noaug,lmap
2,2.1797187,-36.0,cifar10-noaug,lmap
2,2.1186943,-34.0,cifar10-noaug,lmap
2,2.032875,-32.0,cifar10-noaug,lmap
2,1.9092577,-30.0,cifar10-noaug,lmap
2,1.7301593,-28.0,cifar10-noaug,lmap
2,1.4759765,-26.0,cifar10-noaug,lmap
2,1.1455947,-24.0,cifar10-noaug,lmap
