run_id,ce_loss,step,dataset,method
0,44127.38,-50.0,cifar10-noaug,ps
0,23882.229,-48.0,cifar10-noaug,ps
0,12750.284,-46.0,cifar10-noaug,ps
0,6745.5776,-44.0,cifar10-noaug,ps
0,3551.3918,-42.0,cifar10-noaug,ps
0,1866.2211,-40.0,cifar10-noaug,ps
0,968.39935,-38.0,cifar10-noaug,ps
0,483.28763,-36.0,cifar10-noaug,ps
0,229.37663,-34.0,cifar10-noaug,ps
0,103.938866,-32.0,cifar10-noaug,ps
0,45.299263,-30.0,cifar10-noaug,ps
0,19.090704,-28.0,cifar10-noaug,ps
0,8.122375,-26.0,cifar10-noaug,ps
0,4.2011223,-24.0,cifar10-noaug,ps
0,2.997807,-22.0,cifar10-noaug,ps
0,2.6168332,-20.0,cifar10-noaug,ps
0,2.5194054,-18.0,cifar10-noaug,ps
0,2.399324,-16.0,cifar10-noaug,ps
0,2.0150595,-14.0,cifar10-noaug,ps
0,1.3337498,-12.0,cifar10-noaug,ps
0,0.52797824,-10.0,cifar10-noaug,ps
0,0.09609093,-8.0,cifar10-noaug,ps
0,0.009964268,-6.0,cifar10-noaug,ps
0,0.0014834681,-4.0,cifar10-noaug,ps
0,0.0005295215,-2.0,cifar10-noaug,ps
0,0.0003802487,0.0,cifar10-noaug,ps
0,0.0004918379,2.0,cifar10-noaug,ps
0,0.0011904762,4.0,cifar10-noaug,ps
0,0.0061216983,6.0,cifar10-noaug,ps
0,0.049207974,8.0,cifar10-noaug,ps
0,0.28051713,10.0,cifar10-noaug,ps
0,0.8041261,12.0,cifar10-noaug,ps
0,1.3876576,14.0,cifar10-noaug,ps
0,1.8694758,16.0,cifar10-noaug,ps
0,2.178946,18.0,cifar10-noaug,ps
0,2.3771205,20.0,cifar10-noaug,ps
0,2.7042942,22.0,cifar10-noaug,ps
0,3.5981054,24.0,cifar10-noaug,ps
0,6.0199423,26.0,cifar10-noaug,ps
0,11.990818,28.0,cifar10-noaug,ps
0,25.903563,30.0,cifar10-noaug,ps
0,58.13527,32.0,cifar10-noaug,ps
0,132.7514,34.0,cifar10-noaug,ps
0,297.97006,36.0,cifar10-noaug,ps
0,643.60297,38.0,cifar10-noaug,ps
0,1379.3684,40.0,cifar10-noaug,ps
0,3000.2827,42.0,cifar10-noaug,ps
0,6702.753,44.0,cifar10-noaug,ps
0,15140.021,46.0,cifar10-noaug,ps
0,33562.72,48.0,cifar10-noaug,ps
