run_id,ce_loss,step,dataset,method
0,2.4560914,-50.0,cifar10,lmap
0,2.174544,-48.0,cifar10,lmap
0,1.8938068,-46.0,cifar10,lmap
0,1.609799,-44.0,cifar10,lmap
0,1.3261538,-42.0,cifar10,lmap
0,1.0531957,-40.0,cifar10,lmap
0,0.80201983,-38.0,cifar10,lmap
0,0.58353704,-36.0,cifar10,lmap
0,0.40392488,-34.0,cifar10,lmap
0,0.26514095,-32.0,cifar10,lmap
0,0.16453016,-30.0,cifar10,lmap
0,0.09612166,-28.0,cifar10,lmap
0,0.05313865,-26.0,cifar10,lmap
0,0.028117023,-24.0,cifar10,lmap
0,0.0144901825,-22.0,cifar10,lmap
0,0.0075931475,-20.0,cifar10,lmap
0,0.0041721845,-18.0,cifar10,lmap
0,0.0024314437,-16.0,cifar10,lmap
0,0.0015252682,-14.0,cifar10,lmap
0,0.0010313678,-12.0,cifar10,lmap
0,0.00074866024,-10.0,cifar10,lmap
0,0.0005810638,-8.0,cifar10,lmap
0,0.00048089575,-6.0,cifar10,lmap
0,0.0004220346,-4.0,cifar10,lmap
0,0.0003917675,-2.0,cifar10,lmap
0,0.0003839838,0.0,cifar10,lmap
0,0.0003973808,2.0,cifar10,lmap
0,0.00043491632,4.0,cifar10,lmap
0,0.0005044113,6.0,cifar10,lmap
0,0.00062108674,8.0,cifar10,lmap
0,0.00081416505,10.0,cifar10,lmap
0,0.0011392989,12.0,cifar10,lmap
0,0.0016996231,14.0,cifar10,lmap
0,0.0026887723,16.0,cifar10,lmap
0,0.004478415,18.0,cifar10,lmap
0,0.007746771,20.0,cifar10,lmap
0,0.013698898,22.0,cifar10,lmap
0,0.024470005,24.0,cifar10,lmap
0,0.043484297,26.0,cifar10,lmap
0,0.07550583,28.0,cifar10,lmap
0,0.12714332,30.0,cifar10,lmap
0,0.20630477,32.0,cifar10,lmap
0,0.32020488,34.0,cifar10,lmap
0,0.47217304,36.0,cifar10,lmap
0,0.66223407,38.0,cifar10,lmap
0,0.886977,40.0,cifar10,lmap
0,1.1394619,42.0,cifar10,lmap
0,1.4103655,44.0,cifar10,lmap
0,1.6931242,46.0,cifar10,lmap
0,1.9856694,48.0,cifar10,lmap
0,2.2924964,50.0,cifar10,lmap
1,2.1024752,-50.0,cifar10,lmap
1,1.7832661,-48.0,cifar10,lmap
1,1.4770267,-46.0,cifar10,lmap
1,1.1885872,-44.0,cifar10,lmap
1,0.9256525,-42.0,cifar10,lmap
1,0.6952103,-40.0,cifar10,lmap
1,0.50244427,-38.0,cifar10,lmap
1,0.34917077,-36.0,cifar10,lmap
1,0.23353855,-34.0,cifar10,lmap
1,0.15079795,-32.0,cifar10,lmap
1,0.09439018,-30.0,cifar10,lmap
1,0.057461254,-28.0,cifar10,lmap
1,0.034231976,-26.0,cifar10,lmap
1,0.020059891,-24.0,cifar10,lmap
1,0.011662798,-22.0,cifar10,lmap
1,0.0068406095,-20.0,cifar10,lmap
1,0.004122107,-18.0,cifar10,lmap
1,0.002584893,-16.0,cifar10,lmap
1,0.0017009396,-14.0,cifar10,lmap
1,0.0011796217,-12.0,cifar10,lmap
