run_id,ce_loss,step,dataset,method
0,2.2808783,-50.0,cifar10,ps
0,1.9691503,-48.0,cifar10,ps
0,1.6584184,-46.0,cifar10,ps
0,1.3500137,-44.0,cifar10,ps
0,1.0536323,-42.0,cifar10,ps
0,0.7837164,-40.0,cifar10,ps
0,0.55244696,-38.0,cifar10,ps
0,0.36849323,-36.0,cifar10,ps
0,0.23396266,-34.0,cifar10,ps
0,0.14218086,-32.0,cifar10,ps
0,0.0834682,-30.0,cifar10,ps
0,0.048061565,-28.0,cifar10,ps
0,0.027545322,-26.0,cifar10,ps
0,0.015873024,-24.0,cifar10,ps
0,0.009295503,-22.0,cifar10,ps
0,0.0055823186,-20.0,cifar10,ps
0,0.0034526277,-18.0,cifar10,ps
0,0.0022117589,-16.0,cifar10,ps
0,0.0014772717,-14.0,cifar10,ps
0,0.0010370702,-12.0,cifar10,ps
0,0.0007658741,-10.0,cifar10,ps
0,0.00059614785,-8.0,cifar10,ps
0,0.0004897992,-6.0,cifar10,ps
0,0.00042518042,-4.0,cifar10,ps
0,0.00039004278,-2.0,cifar10,ps
0,0.00037772994,0.0,cifar10,ps
0,0.00038572273,2.0,cifar10,ps
0,0.00041649258,4.0,cifar10,ps
0,0.0004758232,6.0,cifar10,ps
0,0.0005760679,8.0,cifar10,ps
0,0.0007398883,10.0,cifar10,ps
0,0.0010097255,12.0,cifar10,ps
0,0.0014575159,14.0,cifar10,ps
0,0.0022152485,16.0,cifar10,ps
0,0.0035111688,18.0,cifar10,ps
0,0.005744547,20.0,cifar10,ps
0,0.009581175,22.0,cifar10,ps
0,0.016166966,24.0,cifar10,ps
0,0.027349226,26.0,cifar10,ps
0,0.04583225,28.0,cifar10,ps
0,0.0753872,30.0,cifar10,ps
0,0.120771036,32.0,cifar10,ps
0,0.18743886,34.0,cifar10,ps
0,0.28133014,36.0,cifar10,ps
0,0.4082046,38.0,cifar10,ps
0,0.5720303,40.0,cifar10,ps
0,0.77307695,42.0,cifar10,ps
0,1.007647,44.0,cifar10,ps
0,1.2677702,46.0,cifar10,ps
0,1.5450466,48.0,cifar10,ps
0,1.8323547,50.0,cifar10,ps
1,1.632548,-50.0,cifar10,ps
1,1.3992285,-48.0,cifar10,ps
1,1.1684643,-46.0,cifar10,ps
1,0.9471073,-44.0,cifar10,ps
1,0.7427101,-42.0,cifar10,ps
1,0.5619781,-40.0,cifar10,ps
1,0.4096421,-38.0,cifar10,ps
1,0.28761643,-36.0,cifar10,ps
1,0.19491138,-34.0,cifar10,ps
1,0.1277754,-32.0,cifar10,ps
1,0.08126141,-30.0,cifar10,ps
1,0.050349854,-28.0,cifar10,ps
1,0.030559862,-26.0,cifar10,ps
1,0.018312821,-24.0,cifar10,ps
1,0.01094431,-22.0,cifar10,ps
1,0.006561804,-20.0,cifar10,ps
1,0.0039960416,-18.0,cifar10,ps
1,0.0024967538,-16.0,cifar10,ps
1,0.0016248485,-14.0,cifar10,ps
1,0.0011121209,-12.0,cifar10,ps
1,0.0008025858,-10.0,cifar10,ps
1,0.0006136113,-8.0,cifar10,ps
1,0.00049777277,-6.0,cifar10,ps
1,0.00042830408,-4.0,cifar10,ps
1,0.00039094058,-2.0,cifar10,ps
1,0.00037772994,0.0,cifar10,ps
1,0.00038574505,2.0,cifar10,ps
1,0.00041682998,4.0,cifar10,ps
1,0.00047692965,6.0,cifar10,ps
1,0.0005791959,8.0,cifar10,ps
1,0.0007484191,10.0,cifar10,ps
1,0.001031906,12.0,cifar10,ps
1,0.0015160585,14.0,cifar10,ps
1,0.0023475972,16.0,cifar10,ps
1,0.0037559674,18.0,cifar10,ps
1,0.00612272,20.0,cifar10,ps
1,0.010060968,22.0,cifar10,ps
1,0.016573166,24.0,cifar10,ps
1,0.027136577,26.0,cifar10,ps
1,0.043787908,28.0,cifar10,ps
1,0.06936864,30.0,cifar10,ps
1,0.107526064,32.0,cifar10,ps
1,0.16266164,34.0,cifar10,ps
1,0.23959336,36.0,cifar10,ps
1,0.34289664,38.0,cifar10,ps
1,0.4757556,40.0,cifar10,ps
1,0.6391575,42.0,cifar10,ps
1,0.8308269,44.0,cifar10,ps
1,1.045541,46.0,cifar10,ps
1,1.2763234,48.0,cifar10,ps
1,1.516493,50.0,cifar10,ps
2,1.9860919,-50.0,cifar10,ps
2,1.6029031,-48.0,cifar10,ps
2,1.2644341,-46.0,cifar10,ps
2,0.9722761,-44.0,cifar10,ps
2,0.7271278,-42.0,cifar10,ps
2,0.52779067,-40.0,cifar10,ps
2,0.37111586,-38.0,cifar10,ps
2,0.2526099,-36.0,cifar10,ps
2,0.16657914,-34.0,cifar10,ps
2,0.106699556,-32.0,cifar10,ps
2,0.06667703,-30.0,cifar10,ps
2,0.04087481,-28.0,cifar10,ps
2,0.024727328,-26.0,cifar10,ps
2,0.014844074,-24.0,cifar10,ps
2,0.0089011965,-22.0,cifar10,ps
2,0.0053762365,-20.0,cifar10,ps
2,0.003303651,-18.0,cifar10,ps
2,0.0020915312,-16.0,cifar10,ps
2,0.0013814203,-14.0,cifar10,ps
2,0.0009616796,-12.0,cifar10,ps
2,0.0007105551,-10.0,cifar10,ps
2,0.0005582347,-8.0,cifar10,ps
2,0.0004656359,-6.0,cifar10,ps
2,0.00041135383,-4.0,cifar10,ps
2,0.0003837555,-2.0,cifar10,ps
2,0.00037772994,0.0,cifar10,ps
2,0.0003910832,2.0,cifar10,ps
2,0.000426354,4.0,cifar10,ps
2,0.0004912604,6.0,cifar10,ps
2,0.0005993499,8.0,cifar10,ps
2,0.0007786665,10.0,cifar10,ps
2,0.0010762785,12.0,cifar10,ps
2,0.0015794779,14.0,cifar10,ps
2,0.00244788,16.0,cifar10,ps
2,0.0039646267,18.0,cifar10,ps
2,0.00661828,20.0,cifar10,ps
2,0.011237958,22.0,cifar10,ps
2,0.019110732,24.0,cifar10,ps
2,0.03214519,26.0,cifar10,ps
2,0.05304453,28.0,cifar10,ps
2,0.085446894,30.0,cifar10,ps
2,0.13411722,32.0,cifar10,ps
2,0.20479062,34.0,cifar10,ps
2,0.3036702,36.0,cifar10,ps
2,0.4362196,38.0,cifar10,ps
2,0.60578084,40.0,cifar10,ps
2,0.8123695,42.0,cifar10,ps
2,1.0520943,44.0,cifar10,ps
2,1.3170736,46.0,cifar10,ps
2,1.5972607,48.0,cifar10,ps
2,1.8830293,50.0,cifar10,ps
3,1.7288182,-50.0,cifar10,ps
3,1.5004169,-48.0,cifar10,ps
3,1.2645593,-46.0,cifar10,ps
3,1.0311646,-44.0,cifar10,ps
3,0.81262606,-42.0,cifar10,ps
3,0.6185378,-40.0,cifar10,ps
3,0.45480168,-38.0,cifar10,ps
3,0.32286543,-36.0,cifar10,ps
3,0.22122826,-34.0,cifar10,ps
3,0.14588578,-32.0,cifar10,ps
3,0.09230736,-30.0,cifar10,ps
3,0.05599165,-28.0,cifar10,ps
3,0.032627676,-26.0,cifar10,ps
3,0.018377589,-24.0,cifar10,ps
3,0.010259083,-22.0,cifar10,ps
3,0.0059213354,-20.0,cifar10,ps
3,0.0036152815,-18.0,cifar10,ps
3,0.0023165215,-16.0,cifar10,ps
3,0.001555825,-14.0,cifar10,ps
3,0.0010932725,-12.0,cifar10,ps
3,0.00080579816,-10.0,cifar10,ps
3,0.00062425435,-8.0,cifar10,ps
3,0.000509309,-6.0,cifar10,ps
3,0.00043764059,-4.0,cifar10,ps
3,0.0003962359,-2.0,cifar10,ps
3,0.0003777302,0.0,cifar10,ps
3,0.0003787159,2.0,cifar10,ps
3,0.0003998905,4.0,cifar10,ps
3,0.00044681397,6.0,cifar10,ps
3,0.0005318906,8.0,cifar10,ps
3,0.00067829894,10.0,cifar10,ps
3,0.0009306927,12.0,cifar10,ps
3,0.0013647403,14.0,cifar10,ps
3,0.0021203517,16.0,cifar10,ps
3,0.003480487,18.0,cifar10,ps
3,0.006017846,20.0,cifar10,ps
3,0.010827512,22.0,cifar10,ps
3,0.019796718,24.0,cifar10,ps
3,0.03582676,26.0,cifar10,ps
3,0.06336804,28.0,cifar10,ps
3,0.108734295,30.0,cifar10,ps
3,0.17928025,32.0,cifar10,ps
3,0.28127778,34.0,cifar10,ps
3,0.41683334,36.0,cifar10,ps
3,0.58180666,38.0,cifar10,ps
3,0.772022,40.0,cifar10,ps
3,0.98769623,42.0,cifar10,ps
3,1.2295346,44.0,cifar10,ps
3,1.4947056,46.0,cifar10,ps
3,1.7818109,48.0,cifar10,ps
3,2.0933633,50.0,cifar10,ps
4,1.7207204,-50.0,cifar10,ps
4,1.4861866,-48.0,cifar10,ps
4,1.255897,-46.0,cifar10,ps
4,1.0339534,-44.0,cifar10,ps
4,0.82643694,-42.0,cifar10,ps
4,0.63895047,-40.0,cifar10,ps
4,0.47660503,-38.0,cifar10,ps
4,0.34300625,-36.0,cifar10,ps
4,0.2382882,-34.0,cifar10,ps
4,0.15998009,-32.0,cifar10,ps
4,0.10389257,-30.0,cifar10,ps
4,0.06529251,-28.0,cifar10,ps
4,0.039863616,-26.0,cifar10,ps
4,0.023777999,-24.0,cifar10,ps
4,0.013978041,-22.0,cifar10,ps
4,0.008199418,-20.0,cifar10,ps
4,0.004874227,-18.0,cifar10,ps
4,0.0029775237,-16.0,cifar10,ps
4,0.001882973,-14.0,cifar10,ps
