run_id,seed,dataset,context_size,s/test/acc,s/test/sel_acc,s/test/avg_nll,s/test/ece
zoksn6wo,211,fmnist,512,93.9799964427948,99.14425659179688,0.27730295062065125,4.36645189166069
jxlap5v8,173,fmnist,512,94.07999515533449,99.14032745361328,0.2612217664718628,4.008657468408345
0ju272my,157,fmnist,512,93.76999735832214,99.11737823486328,0.26179033517837524,4.2374940405786035
iec4qzi0,53,fmnist,512,93.82999539375304,99.1537628173828,0.2621375322341919,4.169354836046695
xrivh319,5,fmnist,512,93.83999705314636,99.16016387939452,0.2593207061290741,4.181404288858174
90to47f6,211,fmnist,256,94.2200005054474,99.19293975830078,0.26786258816719055,4.086294809281826
xpyqogz9,173,fmnist,256,94.11999583244324,99.1456069946289,0.27220115065574646,4.149758539199829
o4f8kp6q,157,fmnist,256,93.91999840736388,99.14781951904295,0.27008527517318726,4.3249887844920165
ckvmjsf4,53,fmnist,256,93.7999963760376,99.14891815185548,0.27759018540382385,4.35965101212263
exsvs6bz,5,fmnist,256,93.82999539375304,99.13555145263672,0.27591297030448914,4.419363386631011
y1e5z6d1,211,fmnist,128,94.30999755859376,99.28618621826172,0.24537450075149536,3.8294637039303776
qtjsltwe,173,fmnist,128,94.04999613761902,99.1864776611328,0.2661912441253662,4.115427220463753
8mxm1sr2,157,fmnist,128,94.12999749183656,99.17757415771484,0.27158135175704956,4.167165382057429
s6n64oka,53,fmnist,128,94.12999749183656,99.20242309570312,0.25905537605285645,4.0954712469875805
xci8kxc6,211,fmnist,64,93.98999810218812,99.16649627685548,0.2739364802837372,4.298476130366325
ysyqk7ei,5,fmnist,128,94.07999515533449,99.15078735351562,0.27186551690101624,4.14724342316389
ljvsbgfd,173,fmnist,64,94.08999681472778,99.2021942138672,0.27507293224334717,4.2120961803197865
3bhk4vgi,157,fmnist,64,93.9799964427948,99.18791961669922,0.27056220173835754,4.300187028348446
x6banzto,53,fmnist,64,93.99999976158142,99.15727996826172,0.28200921416282654,4.349005429744721
0vrtavsl,5,fmnist,64,94.159996509552,99.17249298095705,0.27259600162506104,4.0347565436363215
063mx2pe,211,fmnist,32,93.77999901771544,99.12698364257812,0.2809329032897949,4.51043590515852
u3ve87tk,173,fmnist,32,93.93999576568604,99.1742172241211,0.2579287886619568,4.075547758340836
7m8pfhxb,157,fmnist,32,93.86999607086182,99.17491149902344,0.28659120202064514,4.4277105399966254
fkn1fews,53,fmnist,32,93.71999502182008,99.1854476928711,0.27399057149887085,4.458006476461887
xawrpbcm,5,fmnist,32,93.88999938964844,99.15394592285156,0.2758370041847229,4.384019069373608
5ykg8osk,211,fmnist,16,94.17999982833862,99.23584747314452,0.25435882806777954,3.9372765985131264
18qifn83,173,fmnist,16,94.01999711990356,99.19245147705078,0.26975560188293457,4.262512879371642
2t9v4aiu,157,fmnist,16,94.1100001335144,99.20148468017578,0.2698662579059601,4.151218244135381
bn2oqdwu,53,fmnist,16,93.9300000667572,99.18773651123048,0.27253299951553345,4.190149467885494
hud6t15p,5,fmnist,16,94.04999613761902,99.17039489746094,0.2710089087486267,4.144550893306733
ayakh4eh,211,fmnist,8,94.04999613761902,99.21503448486328,0.26658329367637634,4.232824114561081
008yyt9v,173,fmnist,8,94.23999786376952,99.19844818115234,0.26435986161231995,3.9617516013979914
kjgur1sq,157,fmnist,8,94.29999589920044,99.19562530517578,0.26680701971054077,3.9197534757852552
ra0t5azs,53,fmnist,8,93.77999901771544,99.16439819335938,0.27838534116744995,4.415524348244071
66s0fns5,5,fmnist,8,93.82999539375304,99.13214874267578,0.28793761134147644,4.533602614775301
duaj0wjg,211,fmnist,4,93.9799964427948,99.17923736572266,0.27771249413490295,4.268160908669233
7wo007rv,173,fmnist,4,93.88999938964844,99.16399383544922,0.2802020311355591,4.3589305573701855
pcxy4jso,157,fmnist,4,94.17999982833862,99.1854019165039,0.2631724178791046,3.9936092188954353
yg2yadhw,53,fmnist,4,93.9300000667572,99.22367095947266,0.2785604000091553,4.239677144140005
psm0wgw1,5,fmnist,4,93.86000037193298,99.17810821533205,0.2758926749229431,4.393930655568838
