run_id,ce_loss,step,dataset,method
0,1.5621192,-20.0,fmnist,ps
0,1.1174561,-18.0,fmnist,ps
0,0.68566376,-16.0,fmnist,ps
0,0.35503194,-14.0,fmnist,ps
0,0.1635304,-12.0,fmnist,ps
0,0.078778096,-10.0,fmnist,ps
0,0.049271673,-8.0,fmnist,ps
0,0.04132716,-6.0,fmnist,ps
0,0.04007659,-4.0,fmnist,ps
0,0.040582847,-2.0,fmnist,ps
0,0.040936135,0.0,fmnist,ps
0,0.040573563,2.0,fmnist,ps
0,0.03997403,4.0,fmnist,ps
0,0.04078695,6.0,fmnist,ps
0,0.0474778,8.0,fmnist,ps
0,0.07578257,10.0,fmnist,ps
0,0.16775726,12.0,fmnist,ps
0,0.39132679,14.0,fmnist,ps
0,0.783594,16.0,fmnist,ps
0,1.3128039,18.0,fmnist,ps
0,1.9193597,20.0,fmnist,ps
1,1.4693568,-20.0,fmnist,ps
1,1.0339079,-18.0,fmnist,ps
1,0.62511986,-16.0,fmnist,ps
1,0.3254696,-14.0,fmnist,ps
1,0.1536962,-12.0,fmnist,ps
1,0.07607938,-10.0,fmnist,ps
1,0.04837905,-8.0,fmnist,ps
1,0.040735584,-6.0,fmnist,ps
1,0.039763782,-4.0,fmnist,ps
1,0.04038033,-2.0,fmnist,ps
1,0.040936135,0.0,fmnist,ps
1,0.04068034,2.0,fmnist,ps
1,0.040112413,4.0,fmnist,ps
1,0.041053344,6.0,fmnist,ps
1,0.049114972,8.0,fmnist,ps
1,0.08100607,10.0,fmnist,ps
1,0.17507564,12.0,fmnist,ps
1,0.38091323,14.0,fmnist,ps
1,0.7159726,16.0,fmnist,ps
1,1.1420057,18.0,fmnist,ps
1,1.6049079,20.0,fmnist,ps
2,1.7811415,-20.0,fmnist,ps
2,1.4060507,-18.0,fmnist,ps
2,0.9691909,-16.0,fmnist,ps
2,0.56202525,-14.0,fmnist,ps
2,0.27311426,-12.0,fmnist,ps
2,0.11634165,-10.0,fmnist,ps
2,0.056577127,-8.0,fmnist,ps
2,0.04191014,-6.0,fmnist,ps
2,0.039888836,-4.0,fmnist,ps
2,0.040435355,-2.0,fmnist,ps
2,0.040936135,0.0,fmnist,ps
2,0.040458705,2.0,fmnist,ps
2,0.039597727,4.0,fmnist,ps
2,0.04023622,6.0,fmnist,ps
2,0.047241922,8.0,fmnist,ps
2,0.07609663,10.0,fmnist,ps
2,0.16860315,12.0,fmnist,ps
2,0.3945973,14.0,fmnist,ps
2,0.8026414,16.0,fmnist,ps
2,1.359596,18.0,fmnist,ps
2,2.0057597,20.0,fmnist,ps
3,1.9886512,-20.0,fmnist,ps
3,1.317627,-18.0,fmnist,ps
3,0.7674557,-16.0,fmnist,ps
3,0.376418,-14.0,fmnist,ps
3,0.16107418,-12.0,fmnist,ps
3,0.074003525,-10.0,fmnist,ps
3,0.04654326,-8.0,fmnist,ps
3,0.0396766,-6.0,fmnist,ps
3,0.039195642,-4.0,fmnist,ps
3,0.04029347,-2.0,fmnist,ps
3,0.040936135,0.0,fmnist,ps
3,0.04068703,2.0,fmnist,ps
3,0.04030875,4.0,fmnist,ps
3,0.041397143,6.0,fmnist,ps
3,0.048878457,8.0,fmnist,ps
3,0.07624227,10.0,fmnist,ps
3,0.15378512,12.0,fmnist,ps
3,0.32371765,14.0,fmnist,ps
3,0.60812324,16.0,fmnist,ps
3,0.9882115,18.0,fmnist,ps
3,1.4251515,20.0,fmnist,ps
4,1.6676226,-20.0,fmnist,ps
4,1.2044753,-18.0,fmnist,ps
4,0.73240936,-16.0,fmnist,ps
4,0.3707398,-14.0,fmnist,ps
4,0.16424699,-12.0,fmnist,ps
4,0.07641197,-10.0,fmnist,ps
4,0.047549237,-8.0,fmnist,ps
4,0.040091142,-6.0,fmnist,ps
4,0.039123356,-4.0,fmnist,ps
4,0.039499078,-2.0,fmnist,ps
4,0.03947687,0.0,fmnist,ps
4,0.038590167,2.0,fmnist,ps
4,0.037507627,4.0,fmnist,ps
4,0.03815584,6.0,fmnist,ps
4,0.045478594,8.0,fmnist,ps
4,0.075008996,10.0,fmnist,ps
4,0.16741757,12.0,fmnist,ps
4,0.3864854,14.0,fmnist,ps
4,0.7708309,16.0,fmnist,ps
4,1.291511,18.0,fmnist,ps
4,1.8959551,20.0,fmnist,ps
5,1.7763066,-20.0,fmnist,ps
5,1.2208244,-18.0,fmnist,ps
5,0.7349427,-16.0,fmnist,ps
5,0.37424278,-14.0,fmnist,ps
5,0.16482687,-12.0,fmnist,ps
5,0.07529536,-10.0,fmnist,ps
5,0.04697412,-8.0,fmnist,ps
5,0.03983435,-6.0,fmnist,ps
5,0.038779885,-4.0,fmnist,ps
5,0.039122652,-2.0,fmnist,ps
5,0.03947687,0.0,fmnist,ps
5,0.03937262,2.0,fmnist,ps
5,0.039240148,4.0,fmnist,ps
5,0.040829096,6.0,fmnist,ps
5,0.04979429,8.0,fmnist,ps
5,0.08359364,10.0,fmnist,ps
5,0.18539147,12.0,fmnist,ps
5,0.42124915,14.0,fmnist,ps
5,0.8230541,16.0,fmnist,ps
5,1.3326477,18.0,fmnist,ps
5,1.8468908,20.0,fmnist,ps
6,2.2330973,-20.0,fmnist,ps
6,1.6361895,-18.0,fmnist,ps
6,1.0191787,-16.0,fmnist,ps
6,0.51132107,-14.0,fmnist,ps
6,0.21120732,-12.0,fmnist,ps
6,0.08847268,-10.0,fmnist,ps
6,0.050428275,-8.0,fmnist,ps
6,0.040659532,-6.0,fmnist,ps
6,0.03885753,-4.0,fmnist,ps
6,0.03913838,-2.0,fmnist,ps
6,0.03947687,0.0,fmnist,ps
6,0.03917419,2.0,fmnist,ps
6,0.03873477,4.0,fmnist,ps
6,0.04043075,6.0,fmnist,ps
