step,reg_loss,method
0,304802.5625,ps
1,9100.20703125,ps
2,4727.43310546875,ps
3,4897.36572265625,ps
4,5868.26708984375,ps
5,4699.3447265625,ps
6,4297.89599609375,ps
7,4288.8447265625,ps
8,3198.662353515625,ps
9,3592.192138671875,ps
10,3222.63720703125,ps
11,3334.704345703125,ps
12,3854.92529296875,ps
13,3258.3740234375,ps
14,3022.53564453125,ps
15,2697.353515625,ps
16,2605.94873046875,ps
17,2926.28564453125,ps
18,3020.21435546875,ps
19,3308.2734375,ps
20,3120.98974609375,ps
21,2809.49072265625,ps
22,3050.898681640625,ps
23,3047.433837890625,ps
24,3081.29296875,ps
25,3274.901123046875,ps
26,3534.39697265625,ps
27,2931.349853515625,ps
28,3264.544677734375,ps
29,4141.1533203125,ps
30,4433.58203125,ps
31,4132.15576171875,ps
32,3394.48486328125,ps
33,4417.2080078125,ps
34,5274.98095703125,ps
35,3734.472900390625,ps
36,5008.80810546875,ps
37,4221.6328125,ps
38,5355.03173828125,ps
39,5383.90576171875,ps
41,4106.57080078125,ps
42,6665.931640625,ps
43,5126.6845703125,ps
44,5654.7109375,ps
45,5431.189453125,ps
46,5948.00244140625,ps
47,5000.08349609375,ps
48,7794.0146484375,ps
49,6315.748046875,ps
50,7297.47998046875,ps
51,6011.66162109375,ps
52,8177.62353515625,ps
53,6167.2978515625,ps
54,5948.72216796875,ps
55,9370.4384765625,ps
56,6702.63720703125,ps
57,7795.8681640625,ps
58,10372.7724609375,ps
59,9235.21875,ps
60,8774.0302734375,ps
61,7900.12939453125,ps
62,10251.9267578125,ps
63,8398.8974609375,ps
64,9507.701171875,ps
65,9951.1220703125,ps
66,8848.8271484375,ps
67,10271.8623046875,ps
68,10141.228515625,ps
69,8346.5849609375,ps
70,10670.7421875,ps
71,12425.3779296875,ps
72,11628.78125,ps
73,11080.1064453125,ps
74,14044.0634765625,ps
75,10621.46484375,ps
76,12218.578125,ps
77,9879.080078125,ps
78,14078.388671875,ps
79,13703.4892578125,ps
80,12122.7138671875,ps
82,13478.0458984375,ps
83,14413.470703125,ps
84,15704.478515625,ps
85,14141.189453125,ps
86,13130.26953125,ps
87,13476.5048828125,ps
88,17002.49609375,ps
89,17439.970703125,ps
90,14464.0205078125,ps
91,16527.482421875,ps
92,18719.37890625,ps
93,19894.568359375,ps
94,12530.453125,ps
95,19725.78125,ps
96,16968.830078125,ps
97,15781.9599609375,ps
98,17893.986328125,ps
99,17873.78125,ps
100,18924.994140625,ps
101,18306.9140625,ps
102,20389.26171875,ps
103,21499.330078125,ps
104,20195.546875,ps
105,20943.814453125,ps
106,16669.46484375,ps
107,21636.1484375,ps
108,23335.33984375,ps
109,22746.62109375,ps
110,19334.283203125,ps
111,24659.77734375,ps
112,24515.03125,ps
113,21888.267578125,ps
114,22004.765625,ps
115,25187.044921875,ps
116,30859.474609375,ps
117,28245.65234375,ps
118,34036.98046875,ps
119,28690.21875,ps
120,25924.8671875,ps
121,30644.564453125,ps
123,27192.095703125,ps
124,36544.08203125,ps
125,37876.10546875,ps
126,31598.775390625,ps
127,30414.14453125,ps
128,36613.9453125,ps
129,38481.56640625,ps
130,41797.45703125,ps
131,34494.6796875,ps
132,37330.40234375,ps
133,36265.7890625,ps
134,39785.17578125,ps
135,38398.44921875,ps
136,39994.828125,ps
137,43969.14453125,ps
138,40432.6171875,ps
139,46229.9765625,ps
140,40410.40625,ps
141,46657.01953125,ps
142,44384.11328125,ps
143,42333.3515625,ps
144,45257.140625,ps
145,49752.03515625,ps
146,46688.0546875,ps
147,42066.37109375,ps
148,41632.34375,ps
149,42551.45703125,ps
150,42389.7265625,ps
151,39931.41796875,ps
152,36607.19921875,ps
153,37866.8671875,ps
