mode,corruption,level,seed_id,s/test/acc,s/test/sel_acc
fsgc,zoom_blur,5,0,69.71679925918579,87.47065734863281
fsgc,zoom_blur,4,0,78.18359732627869,93.1056671142578
fsgc,zoom_blur,3,0,83.45703482627869,95.45089721679688
fsgc,zoom_blur,2,0,87.7148449420929,97.28411102294922
fsgc,zoom_blur,1,0,89.5312488079071,97.9690170288086
fsgc,speckle_noise,5,0,43.037110567092896,68.04076385498047
fsgc,speckle_noise,4,0,53.642576932907104,77.88810729980469
fsgc,speckle_noise,3,0,67.2070324420929,88.0177001953125
fsgc,speckle_noise,2,0,73.33008050918579,91.53890991210938
fsgc,speckle_noise,1,0,86.474609375,97.3098602294922
fsgc,spatter,5,0,72.998046875,87.2017593383789
fsgc,spatter,4,0,85.01953482627869,95.493408203125
fsgc,spatter,3,0,81.1718761920929,94.92658996582033
fsgc,spatter,2,0,85.6152355670929,96.4848403930664
fsgc,spatter,1,0,91.943359375,98.71208953857422
fsgc,snow,5,0,74.03320670127869,91.04769897460938
fsgc,snow,4,0,80.60547113418579,94.69883728027344
fsgc,snow,3,0,82.91992545127869,95.5352020263672
fsgc,snow,2,0,80.4394543170929,94.49644470214844
fsgc,snow,1,0,89.5800769329071,97.899658203125
fsgc,shot_noise,5,0,37.99804747104645,61.63933944702149
fsgc,shot_noise,4,0,49.66796934604645,73.61959075927734
fsgc,shot_noise,3,0,57.246094942092896,80.31602478027344
fsgc,shot_noise,2,0,77.4609386920929,93.63835906982422
fsgc,shot_noise,1,0,86.09375357627869,97.24243927001952
fsgc,saturate,5,0,85.8691394329071,96.66057586669922
fsgc,saturate,4,0,90.3124988079071,98.26409912109376
fsgc,saturate,3,0,93.3984398841858,99.08753204345705
fsgc,saturate,2,0,89.599609375,97.9673309326172
fsgc,saturate,1,0,92.5097644329071,98.71036529541016
fsgc,pixelate,5,0,47.509765625,69.03457641601562
fsgc,pixelate,4,0,65.92773795127869,85.37975311279297
fsgc,pixelate,3,0,82.8417956829071,95.68147277832033
fsgc,pixelate,2,0,86.87500357627869,97.41411590576172
fsgc,pixelate,1,0,92.44140982627867,98.79011535644533
fsgc,motion_blur,5,0,70.21484375,87.08248901367188
fsgc,motion_blur,4,0,78.0468761920929,92.27022552490234
fsgc,motion_blur,3,0,77.3730456829071,92.10492706298828
fsgc,motion_blur,2,0,85.009765625,96.26416015625
fsgc,motion_blur,1,0,90.9375011920929,98.31359100341795
fsgc,jpeg_compression,5,0,73.5058605670929,90.20856475830078
fsgc,jpeg_compression,4,0,77.685546875,92.7873077392578
fsgc,jpeg_compression,2,0,81.7187488079071,95.05754089355467
fsgc,jpeg_compression,3,0,80.1953136920929,94.03130340576172
fsgc,jpeg_compression,1,0,86.72851920127869,97.27129364013672
fsgc,impulse_noise,5,0,18.134765326976776,28.691015243530273
fsgc,impulse_noise,4,0,31.093749403953552,49.77950668334961
fsgc,impulse_noise,3,0,53.90625,76.51809692382812
fsgc,impulse_noise,2,0,67.236328125,85.97002410888672
fsgc,impulse_noise,1,0,82.0117175579071,94.64381408691406
fsgc,gaussian_noise,5,0,31.044921278953552,51.51191711425781
fsgc,gaussian_noise,4,0,36.38671934604645,58.246124267578125
fsgc,gaussian_noise,3,0,43.310546875,66.11492919921875
fsgc,gaussian_noise,2,0,59.53125357627869,81.0956802368164
fsgc,gaussian_noise,1,0,78.01758050918579,93.77716064453124
fsgc,gaussian_blur,5,0,44.26757991313934,63.10600662231445
fsgc,gaussian_blur,4,0,70.59570550918579,87.55601501464844
fsgc,gaussian_blur,3,0,81.7089855670929,94.84046173095705
fsgc,gaussian_blur,2,0,90.1269555091858,98.17849731445312
fsgc,gaussian_blur,1,0,94.62890625,99.28878784179688
fsgc,frosted_glass_blur,5,0,50.341796875,70.4399642944336
fsgc,frosted_glass_blur,4,0,48.261719942092896,67.0049057006836
fsgc,frosted_glass_blur,3,0,61.53320670127869,81.82030487060547
fsgc,frosted_glass_blur,2,0,59.794920682907104,79.30209350585938
fsgc,frosted_glass_blur,1,0,57.568359375,77.9312515258789
fsgc,frost,5,0,63.408201932907104,85.23515319824219
fsgc,frost,4,0,74.2382824420929,91.87840270996094
fsgc,frost,3,0,75.048828125,92.04196166992188
fsgc,frost,2,0,84.5996081829071,96.52545166015624
fsgc,frost,1,0,90.97656607627867,98.5626449584961
fsgc,fog,5,0,75.13672113418579,91.63761138916016
fsgc,fog,4,0,90.234375,98.17887878417967
fsgc,fog,3,0,92.6464855670929,98.81599426269533
fsgc,fog,2,0,94.4042980670929,99.29509735107422
fsgc,fog,1,0,94.7558581829071,99.25438690185548
fsgc,elastic,5,0,76.8750011920929,91.83998107910156
fsgc,elastic,4,0,81.97265863418579,94.4469985961914
fsgc,elastic,3,0,87.85156607627869,97.45232391357422
fsgc,elastic,2,0,90.9082055091858,98.18292236328124
fsgc,elastic,1,0,91.162109375,98.46912384033205
fsgc,defocus_blur,5,0,65.5957043170929,83.8403091430664
fsgc,defocus_blur,4,0,82.958984375,95.3755340576172
fsgc,defocus_blur,3,0,89.88281488418579,98.1347885131836
fsgc,defocus_blur,2,0,93.51562857627867,98.98218536376952
fsgc,defocus_blur,1,0,94.58984732627867,99.25033569335938
fsgc,contrast,5,0,45.361328125,63.99623489379883
fsgc,contrast,4,0,82.8125,95.1981430053711
fsgc,contrast,3,0,89.95117545127869,98.01296997070312
fsgc,contrast,2,0,92.6074206829071,98.91183471679688
fsgc,contrast,1,0,94.7167992591858,99.34297943115234
fsgc,brightness,5,0,88.90625238418579,97.99994659423828
fsgc,brightness,4,0,92.333984375,98.81956481933594
fsgc,brightness,3,0,93.5937523841858,99.10712432861328
fsgc,brightness,2,0,94.23828125,99.18963623046876
fsgc,brightness,1,0,94.5214867591858,99.30780029296876
fsgc,zoom_blur,5,1,68.6230480670929,87.43746185302734
fsgc,zoom_blur,4,1,78.1933605670929,93.2757339477539
fsgc,zoom_blur,3,1,82.96875357627869,95.5162124633789
fsgc,zoom_blur,2,1,87.6953125,97.303466796875
fsgc,zoom_blur,1,1,89.60937857627869,97.97418975830078
fsgc,speckle_noise,5,1,39.41406309604645,61.51404571533203
fsgc,speckle_noise,4,1,51.13281607627869,75.16690063476562
fsgc,speckle_noise,3,1,65.33203125,86.90419006347656
fsgc,speckle_noise,2,1,72.802734375,91.4910888671875
fsgc,speckle_noise,1,1,85.9179675579071,97.16986083984376
fsgc,spatter,5,1,72.0703125,84.91364288330078
