run_id,ce_loss,step,dataset,method
0,5.0239115,-50.0,twomoons,fs
0,4.7439284,-48.0,twomoons,fs
0,4.4689875,-46.0,twomoons,fs
0,4.2132187,-44.0,twomoons,fs
0,3.9658031,-42.0,twomoons,fs
0,3.749151,-40.0,twomoons,fs
0,3.5429485,-38.0,twomoons,fs
0,3.3447661,-36.0,twomoons,fs
0,3.1657083,-34.0,twomoons,fs
0,3.0082407,-32.0,twomoons,fs
0,2.8703957,-30.0,twomoons,fs
0,2.7485688,-28.0,twomoons,fs
0,2.635638,-26.0,twomoons,fs
0,2.5199194,-24.0,twomoons,fs
0,2.395002,-22.0,twomoons,fs
0,2.2769823,-20.0,twomoons,fs
0,2.1752312,-18.0,twomoons,fs
0,2.068779,-16.0,twomoons,fs
0,1.9511865,-14.0,twomoons,fs
0,1.8251224,-12.0,twomoons,fs
0,1.6807055,-10.0,twomoons,fs
0,1.4790775,-8.0,twomoons,fs
0,1.160698,-6.0,twomoons,fs
0,0.7093288,-4.0,twomoons,fs
0,0.29571483,-2.0,twomoons,fs
0,0.11503242,0.0,twomoons,fs
0,0.3704148,2.0,twomoons,fs
0,1.3332889,4.0,twomoons,fs
0,2.3428948,6.0,twomoons,fs
0,2.9774945,8.0,twomoons,fs
0,3.2850997,10.0,twomoons,fs
0,3.395507,12.0,twomoons,fs
0,3.4106426,14.0,twomoons,fs
0,3.3953118,16.0,twomoons,fs
0,3.3772268,18.0,twomoons,fs
0,3.3621275,20.0,twomoons,fs
0,3.3472054,22.0,twomoons,fs
0,3.3279173,24.0,twomoons,fs
0,3.302784,26.0,twomoons,fs
0,3.2782989,28.0,twomoons,fs
0,3.267957,30.0,twomoons,fs
0,3.2830193,32.0,twomoons,fs
0,3.3286536,34.0,twomoons,fs
0,3.4135275,36.0,twomoons,fs
0,3.540714,38.0,twomoons,fs
0,3.7038894,40.0,twomoons,fs
0,3.902546,42.0,twomoons,fs
0,4.132995,44.0,twomoons,fs
0,4.3828497,46.0,twomoons,fs
0,4.6438584,48.0,twomoons,fs
0,4.913779,50.0,twomoons,fs
1,8.057225,-50.0,twomoons,fs
1,7.6847386,-48.0,twomoons,fs
1,7.316487,-46.0,twomoons,fs
1,6.954564,-44.0,twomoons,fs
1,6.600214,-42.0,twomoons,fs
1,6.2539506,-40.0,twomoons,fs
1,5.915591,-38.0,twomoons,fs
1,5.583968,-36.0,twomoons,fs
1,5.256378,-34.0,twomoons,fs
1,4.9281573,-32.0,twomoons,fs
1,4.5926533,-30.0,twomoons,fs
1,4.24131,-28.0,twomoons,fs
1,3.8635783,-26.0,twomoons,fs
1,3.4472146,-24.0,twomoons,fs
1,2.9809072,-22.0,twomoons,fs
1,2.46123,-20.0,twomoons,fs
1,1.9018273,-18.0,twomoons,fs
1,1.3391843,-16.0,twomoons,fs
1,0.8412015,-14.0,twomoons,fs
1,0.49269432,-12.0,twomoons,fs
1,0.3161696,-10.0,twomoons,fs
1,0.24469438,-8.0,twomoons,fs
1,0.20526117,-6.0,twomoons,fs
1,0.16770543,-4.0,twomoons,fs
1,0.13470107,-2.0,twomoons,fs
1,0.11503242,0.0,twomoons,fs
1,0.11468534,2.0,twomoons,fs
1,0.12903786,4.0,twomoons,fs
1,0.14588891,6.0,twomoons,fs
1,0.16915232,8.0,twomoons,fs
1,0.21695407,10.0,twomoons,fs
1,0.30845326,12.0,twomoons,fs
1,0.45133844,14.0,twomoons,fs
1,0.6429277,16.0,twomoons,fs
1,0.86068267,18.0,twomoons,fs
1,1.0622582,20.0,twomoons,fs
1,1.2297074,22.0,twomoons,fs
1,1.3674188,24.0,twomoons,fs
1,1.4858471,26.0,twomoons,fs
1,1.593966,28.0,twomoons,fs
1,1.6974318,30.0,twomoons,fs
1,1.7991529,32.0,twomoons,fs
1,1.9003046,34.0,twomoons,fs
1,2.0011203,36.0,twomoons,fs
1,2.1014376,38.0,twomoons,fs
1,2.2010236,40.0,twomoons,fs
1,2.2996953,42.0,twomoons,fs
1,2.3973324,44.0,twomoons,fs
1,2.4938684,46.0,twomoons,fs
1,2.5893114,48.0,twomoons,fs
1,2.6838024,50.0,twomoons,fs
2,3.6867175,-50.0,twomoons,fs
2,3.6341467,-48.0,twomoons,fs
2,3.5880218,-46.0,twomoons,fs
2,3.5434508,-44.0,twomoons,fs
2,3.4982631,-42.0,twomoons,fs
2,3.4520388,-40.0,twomoons,fs
2,3.4038143,-38.0,twomoons,fs
2,3.3517468,-36.0,twomoons,fs
2,3.2940462,-34.0,twomoons,fs
2,3.2291734,-32.0,twomoons,fs
2,3.1552756,-30.0,twomoons,fs
2,3.069375,-28.0,twomoons,fs
2,2.9669225,-26.0,twomoons,fs
2,2.8421924,-24.0,twomoons,fs
2,2.6886072,-22.0,twomoons,fs
2,2.4983838,-20.0,twomoons,fs
2,2.2620795,-18.0,twomoons,fs
2,1.970452,-16.0,twomoons,fs
2,1.6244127,-14.0,twomoons,fs
2,1.2510111,-12.0,twomoons,fs
2,0.89666104,-10.0,twomoons,fs
2,0.585733,-8.0,twomoons,fs
2,0.3342281,-6.0,twomoons,fs
2,0.18214515,-4.0,twomoons,fs
2,0.12376144,-2.0,twomoons,fs
2,0.11503242,0.0,twomoons,fs
2,0.13143879,2.0,twomoons,fs
2,0.24986911,4.0,twomoons,fs
2,0.57527965,6.0,twomoons,fs
2,0.82932097,8.0,twomoons,fs
2,0.99272025,10.0,twomoons,fs
2,1.1139172,12.0,twomoons,fs
2,1.2081645,14.0,twomoons,fs
2,1.2994348,16.0,twomoons,fs
2,1.4064152,18.0,twomoons,fs
2,1.5342028,20.0,twomoons,fs
2,1.6795707,22.0,twomoons,fs
2,1.8358934,24.0,twomoons,fs
2,1.9978192,26.0,twomoons,fs
2,2.1629019,28.0,twomoons,fs
2,2.3285522,30.0,twomoons,fs
2,2.4900253,32.0,twomoons,fs
